Sample_ID,Histo,regions,chunk
PD53943v_lo0019,Right ventricle,Right_Ventricle,Right_Ventricle.1
PD53943v_lo0020,Right ventricle,Right_Ventricle,Right_Ventricle.1
PD53943v_lo0067,Left ventricle,Left_Ventricle,Left_Ventricle.2
PD53943v_lo0060,Centre IVS,Centre_septum,Centre_septum
PD53943v_lo0138,Left IVS,Left_septum,Left_septum.3
PD53943v_lo0021,Right ventricle,Right_Ventricle,Right_Ventricle.1
PD53943v_lo0173,Left IVS,Left_septum,Left_septum.1
PD53943v_lo0112,Right IVS,Right_septum,Right_septum.3
PD53943v_lo0113,Right IVS,Right_septum,Right_septum.3
PD53943v_lo0114,Left IVS,Left_septum,Left_septum.2
PD53943v_lo0157,Left ventricle,Left_Ventricle,Left_Ventricle.4
PD53943v_lo0257,Left ventricle,Left_Ventricle,Left_Ventricle.1
PD53943v_lo0172,Left IVS,Left_septum,Left_septum.1
PD53943v_lo0125,Right IVS,Right_septum,Right_septum.2
PD53943v_lo0126,Right IVS,Right_septum,Right_septum.3
PD53943v_lo0034,Right ventricle,Right_Ventricle,Right_Ventricle.1
PD53943v_lo0280,Left IVS,Left_septum,Left_septum.1
PD53943v_lo0147,Right ventricle,Right_Ventricle,Right_Ventricle.2
PD53943v_lo0148,Right ventricle,Right_Ventricle,Right_Ventricle.2
PD53943v_lo0066,Left ventricle,Left_Ventricle,Left_Ventricle.2
PD53943v_lo0068,Left ventricle,Left_Ventricle,Left_Ventricle.2
PD53943v_lo0069,Left ventricle,Left_Ventricle,Left_Ventricle.3
PD53943v_lo0155,Left ventricle,Left_Ventricle,Left_Ventricle.4
PD53943v_lo0158,Left ventricle,Left_Ventricle,Left_Ventricle.4
PD53943v_lo0160,Left ventricle,Left_Ventricle,Left_Ventricle.4
PD53943v_lo0030,Left ventricle,Left_Ventricle,Left_Ventricle.2
PD53943v_lo0031,Left ventricle,Left_Ventricle,Left_Ventricle.2
PD53943v_lo0239,Left ventricle,Left_Ventricle,Left_Ventricle.1
PD53943v_lo0240,Left ventricle,Left_Ventricle,Left_Ventricle.1
PD53943v_lo0255,Right ventricle,Right_Ventricle,Right_Ventricle.2
PD53943v_lo0127,Left IVS,Left_septum,Left_septum.3
PD53943v_lo0128,Left IVS,Left_septum,Left_septum.2
PD53943v_lo0095,Right IVS,Right_septum,Right_septum.3
PD53943v_lo0080,Right IVS,Right_septum,Right_septum.3
PD53943v_lo0082,Left IVS,Left_septum,Left_septum.2
PD53943v_lo0083,Left IVS,Left_septum,Left_septum.3
PD53943v_lo0137,Left IVS,Left_septum,Left_septum.2
PD53943v_lo0094,Right IVS,Right_septum,Right_septum.2
PD53943v_lo0150,Right IVS,Right_septum,Right_septum.1
PD53943v_lo0151,Right IVS,Right_septum,Right_septum.1
PD53943v_lo0152,Left IVS,Left_septum,Left_septum.1
PD53943v_lo0153,Left IVS,Left_septum,Left_septum.1
PD53943v_lo0136,Right IVS,Right_septum,Right_septum.2
PD53943v_lo0097,Left IVS,Left_septum,Left_septum.3
PD53943v_lo0242,Left ventricle,Left_Ventricle,Left_Ventricle.1
PD53943v_lo0135,Right IVS,Right_septum,Right_septum.2
PD53943v_lo0035,Right IVS,Right_septum,Right_septum.1
PD53943v_lo0149,Right ventricle,Right_Ventricle,Right_Ventricle.2
PD53943v_lo0096,Left IVS,Left_septum,Left_septum.3
PD53943w_lo0216,Left ventricle,Left_Ventricle,Left_Ventricle.3
PD53943w_lo0215,Left ventricle,Left_Ventricle,Left_Ventricle.3
PD53943w_lo0217,Left ventricle,Left_Ventricle,Left_Ventricle.3
PD53943w_lo0218,Left ventricle,Left_Ventricle,Left_Ventricle.3
PD53943w_lo0221,Centre tip IVS,Centre_septum,Centre_septum
PD53943w_lo0223,Left IVS,Left_septum,Left_septum.4
PD53943w_lo0224,Left IVS,Left_septum,Left_septum.4
PD53943w_lo0227,Right IVS,Right_septum,Right_septum.1
PD53943w_lo0228,Left IVS,Left_septum,Left_septum.2
PD53943w_lo0230,Centre base IVS,Centre_septum,Centre_septum
PD53943w_lo0225,Centre IVS,Centre_septum,Centre_septum
PD53943w_lo0226,Right IVS,Right_septum,Right_septum.1
PD53943w_lo0229,Right IVS,Right_septum,Right_septum.1
