Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943ab_lo0002,Umbilical_cord,Vascular smooth muscle,Umbilical cord,Umbilical cord,Umbilical cord,2855
PD53943ab_lo0008,Umbilical_cord,Blood,Umbilical cord,Umbilical cord,Umbilical cord,2855
PD53943ab_lo0010,Umbilical_cord,Whartons jelly,Umbilical cord,Umbilical cord,Umbilical cord,2855
PD53943ab_lo0001,Umbilical_cord,Vascular smooth muscle,Umbilical cord,Umbilical cord,Umbilical cord,2855
PD53943ac_lo0138,HEAD PD53943ac_B1-C2-S2,Optic nerve ,Head,Head,Head,3137
PD53943ac_lo0141,HEAD PD53943ac_B1-C2-S2,Ganglion,Head,Head,Head,3137
PD53943ac_lo0147,HEAD PD53943ac_B1-C2-S2,Ganglion,Head,Head,Head,3137
PD53943ac_lo0151,HEAD PD53943ac_B1-C2-S2,Ganglion,Head,Head,Head,3137
PD53943ac_lo0140,HEAD PD53943ac_B1-C2-S2,Ganglion,Head,Head,Head,3137
PD53943ac_lo0160,TBD PD53943ac B3-C2-S3,Paraganglion,Head,Head,Head,3137
PD53943ac_lo0161,TBD PD53943ac B3-C2-S3,Paraganglion,Head,Head,Head,3137
PD53943ac_lo0162,TBD PD53943ac B3-C2-S3,Paraganglion,Head,Head,Head,3137
PD53943ac_lo0155,HEAD PD53943ac_B1-C2-S2,Optic nerve ,Head,Head,Head,3137
PD53943ac_lo0164,TBD PD53943ac B3-C2-S3,Paraganglion,Head,Head,Head,3137
PD53943ac_lo0165,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0166,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0167,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0168,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0169,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0170,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0171,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
PD53943ac_lo0172,HEAD PD53943ac_B1-C2-S3,Epidermis,Head,Head,Head,3137
